,Service Request#,Incident Date,BLDG#,Street,Boro,Zip,Cross Streets,Cleaning Methods,San Dist,CB,Precinct,Council Dist,City Owned,xcoord,ycoord,On Roll Down Gate,Cherry Picker,Above 3rd Floor,LM,lon,lat,Factor,cluster
0,G51871,4/6/2010,1324,HANCOCK STREET,BROOKLYN,11237,KNICKERBOCKER AVENUE / IRVING AVENUE,,304,4,83,37,False,1009468,192143,No,No,No,False,-73.9090606217,40.6940289534,1.02530054517,12
1,G84575,3/20/2012,120,AVENUE M,BROOKLYN,11230,MC DONALD AVENUE / EAST    2 STREET,,312,12,66,44,False,991516,163791,No,No,No,False,-73.9738283999,40.6162418704,1.25365544147,3
2,G137055,8/18/2015,3305,3 AVENUE,BRONX,10456,EAST 164 STREET / WEIHER COURT,,203,3,42,16,False,1009624,240185,No,No,No,False,-73.9083167391,40.8258913839,1.12116965616,17
3,G137126,8/20/2015,1704,BATH AVENUE,BROOKLYN,11214,17 AVENUE / BAY   16 STREET,,311,11,62,43,False,981924,159660,No,No,No,False,-74.0083766591,40.6049057985,1.11318056357,3
4,G137328,8/27/2015,709,53 STREET,BROOKLYN,11220,7 AVENUE / 8 AVENUE,,307,7,72,38,False,982275,172705,No,No,No,False,-74.0071164141,40.6407116819,1.2659719592,10
5,G137329,8/27/2015,464,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980687,173762,Yes,No,No,False,-74.0128389294,40.6436124235,1.2659719592,10
6,G137330,8/27/2015,466,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980718,173737,No,No,No,False,-74.0127272108,40.6435438163,1.2659719592,10
7,G137336,8/27/2015,262,WEST   15 STREET,MANHATTAN,10011,7 AVENUE / 8 AVENUE,,104,4,10,3,False,983746,208964,No,No,No,False,-74.0018187494,40.7402344778,0.991679780554,6
8,G137339,8/27/2015,165,MERCER STREET,MANHATTAN,10012,PRINCE STREET / WEST HOUSTON STREET,,102,2,1,1,False,984764,203606,No,No,No,False,-73.9981455736,40.7255280837,0.976034474248,6
9,G137340,8/27/2015,10,LIBERTY STREET,MANHATTAN,10005,GOLD STREET / WILLIAM STREET,,101,1,1,1,False,981978,196988,No,No,No,False,-74.008194764,40.7073629825,0.765987915111,6
10,G137341,8/27/2015,837,EAST   49 STREET,BROOKLYN,11203,AVENUE D / FOSTER AVENUE,,317,17,67,45,False,1003690,172811,No,No,No,False,-73.9299525756,40.6409815152,1.70936659751,26
11,G137343,8/27/2015,936,SENECA AVENUE,QUEENS,11385,HANCOCK STREET / WEIRFIELD STREET,,405,5,104,34,False,1011084,194277,No,No,Yes,False,-73.903224619,40.6998815311,1.20172633969,12
12,G137345,8/27/2015,442,GRAND STREET,BROOKLYN,11211,KEAP STREET / GRAND ST EXTENSION,,301,1,90,34,False,997291,198347,No,No,No,False,-73.9529604365,40.7110837964,1.25565271462,8
13,G137347,8/27/2015,883,LEXINGTON AVENUE,BROOKLYN,11221,PATCHEN AVENUE / BEND,,303,3,81,41,False,1004919,190976,Yes,No,No,False,-73.9254684775,40.6908376024,1.33720803473,28
14,G137354,8/27/2015,43,ESSEX STREET,MANHATTAN,10002,HESTER STREET / GRAND STREET,,103,3,7,1,False,987119,200269,Yes,No,No,False,-73.9896505481,40.7163683735,1.19906330883,6
15,G137356,8/27/2015,504,GRAND STREET,MANHATTAN,10002,EAST BROADWAY / COLUMBIA STREET,,103,3,7,1,False,989287,199791,Yes,No,No,False,-73.9818301978,40.7150554092,1.19906330883,6
16,G137357,8/27/2015,92,RIVINGTON STREET,MANHATTAN,10002,ORCHARD STREET / LUDLOW STREET,,103,3,7,1,False,987394,201719,Yes,No,No,False,-73.988657853,40.7203481816,1.19906330883,6
17,G137363,8/28/2015,2071,BATHGATE AVENUE,BRONX,10457,EAST  179 STREET / EAST  180 STREET,,206,6,48,15,False,1013200,249193,No,No,No,False,-73.8953567941,40.850604714,1.14879860133,5
18,G137364,8/28/2015,176,BORINQUEN PLACE,BROOKLYN,11211,KEAP STREET / SOUTH    1 STREET,,301,1,90,34,False,997229,198141,Yes,No,No,False,-73.9531844708,40.7105184666,1.25565271462,8
19,G137366,8/28/2015,50,BOWERY,MANHATTAN,10013,MANHATTAN BRIDGE / CANAL STREET,,103,3,5,1,False,985129,200132,No,No,No,False,-73.996829168,40.7159927628,1.04127873033,6
20,G137369,8/28/2015,94,JOHN STREET,STATEN ISLAND,10302,RICHMOND TERRACE / BEND,,501,1,121,49,False,944417,171226,No,No,No,False,-74.1435193031,40.6365627974,0.795281254579,27
21,G137370,8/28/2015,912,MANHATTAN AVENUE,BROOKLYN,11222,GREENPOINT AVENUE / KENT STREET,,301,1,94,33,False,996994,205462,No,No,No,False,-73.954018259,40.7306131853,0.936089011338,8
22,G137371,8/28/2015,6719,13 AVENUE,BROOKLYN,11219,67 STREET / OVINGTON AVENUE,,310,10,68,43,False,983450,166718,Yes,No,No,False,-74.0028818884,40.6242788191,1.1011969247,3
23,G137374,8/28/2015,4322,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,7,72,38,False,984168,174172,Yes,No,No,False,-74.0002954841,40.6447385015,0.999335994279,10
24,G137383,8/28/2015,768,40 STREET,BROOKLYN,11232,7 AVENUE / 8 AVENUE,,307,7,72,38,False,984701,174931,Yes,No,No,False,-73.9983747865,40.6468217816,0.999335994279,10
25,G137387,8/29/2015,47-27,21 STREET,QUEENS,11101,JACKSON AVENUE / 47 ROAD,,402,2,108,26,False,998943,210185,No,No,No,False,-73.9469757409,40.7435736271,1.33487788273,8
26,G137389,8/29/2015,1734,AMSTERDAM AVENUE,MANHATTAN,10031,WEST  145 STREET / WEST  146 STREET,,109,9,30,7,False,998792,240187,Yes,No,No,False,-73.9474557257,40.825921349,0.941747951917,17
27,G137390,8/29/2015,3426,BROADWAY,MANHATTAN,10031,WEST  139 STREET / WEST  140 STREET,,109,9,30,7,False,997342,239000,No,No,No,False,-73.9526972923,40.8226656396,0.941747951917,17
28,G137391,8/29/2015,3656,BROADWAY,MANHATTAN,10031,WEST  150 STREET / WEST  151 STREET,,109,9,30,7,False,998815,241659,No,No,No,False,-73.9473694247,40.82996153,0.941747951917,17
29,G137392,8/29/2015,550,WEST  153 STREET,MANHATTAN,10031,AMSTERDAM AVENUE / BROADWAY,,109,9,30,7,False,999068,242114,No,No,No,False,-73.9464542053,40.8312099534,0.941747951917,17
30,G137395,8/30/2015,423,HUMBOLDT STREET,BROOKLYN,11211,JACKSON STREET / WITHERS STREET,,301,1,94,34,False,999975,200486,Yes,No,No,False,-73.9432741154,40.7169504765,1.25565271462,8
31,G137399,8/30/2015,1120,BUSHWICK AVENUE,BROOKLYN,11221,WOODBINE STREET / MADISON STREET,,304,4,83,34,False,1006773,190502,No,No,No,False,-73.9187846218,40.6895320581,1.33720803473,28
32,G137401,8/31/2015,1054,BUSHWICK AVENUE,BROOKLYN,11221,GATES AVENUE / PALMETTO STREET,,304,4,83,34,False,1006224,190816,No,No,No,False,-73.9207632281,40.6903952956,1.33720803473,28
33,G137406,8/31/2015,175,WEST   94 STREET,MANHATTAN,10025,COLUMBUS AVENUE / AMSTERDAM AVENUE,,107,7,24,6,False,992406,228133,No,No,No,False,-73.9705447558,40.7928446677,1.00399629829,13
34,G137408,8/31/2015,2011,EMMONS AVENUE,BROOKLYN,11235,OCEAN AVENUE / EAST   21 STREET,,315,15,61,48,False,998753,152075,No,No,No,False,-73.9477864142,40.5840749406,1.1254970813,11
35,G137410,8/31/2015,1490,BEDFORD AVENUE,BROOKLYN,11216,STERLING PLACE / ST JOHNS PLACE,,308,8,77,35,False,996795,184252,No,No,No,False,-73.954775782,40.6723969975,1.27096514207,21
36,G137416,8/31/2015,59,VAN DAM STREET,BROOKLYN,11222,NASSAU AVENUE / BRIDGEWATER STREET,,301,1,94,33,False,1001602,204110,Yes,No,No,False,-73.937395584,40.7268944369,0.936089011338,8
37,G137417,8/31/2015,221,SEAMAN AVENUE,MANHATTAN,10034,WEST  214 STREET / WEST  215 STREET,,112,12,34,7,False,1006724,256553,No,No,No,False,-73.9187403694,40.8708245482,0.903466883294,17
38,G137418,8/31/2015,92-04,DITMARS BOULEVARD,QUEENS,11369,92 STREET / 93 STREET,,403,3,115,21,False,1017955,219804,No,No,No,False,-73.8783168699,40.7699232799,0.939084921056,25
39,G137420,8/31/2015,18,GROVE STREET,MANHATTAN,10014,GROVE COURT / BEDFORD STREET,,102,2,6,3,False,982732,206065,No,No,No,False,-74.005477246,40.7322773229,0.896809306142,6
40,G137421,8/31/2015,640,RHINELANDER AVENUE,BRONX,10462,UNIONPORT ROAD / AMETHYST STREET,,211,11,49,15,False,1020584,247843,No,No,No,False,-73.8686738027,40.8468720685,1.0179772103,20
41,G137423,8/31/2015,405,5 AVENUE,BROOKLYN,11215,7 STREET / 8 STREET,,306,6,78,39,False,988365,183409,Yes,No,No,False,-73.9851661048,40.6700910834,1.0682419178,23
42,G137425,8/31/2015,2286,FLATBUSH AVENUE,BROOKLYN,11234,FILLMORE AVENUE / EAST   49 STREET,,318,18,63,46,False,1004342,162924,Yes,No,No,False,-73.9276326809,40.6138423339,1.31024484726,24
43,G137427,8/31/2015,1142,BEDFORD AVENUE,BROOKLYN,11216,GATES AVENUE / MONROE STREET,,303,3,79,36,False,996846,188932,No,No,Yes,False,-73.9545831818,40.6852424638,1.27096514207,21
44,G137428,8/31/2015,214,CLIFTON PLACE,BROOKLYN,11216,FRANKLIN AVENUE / BEDFORD AVENUE,,303,3,79,36,False,996499,190077,Yes,No,No,False,-73.9558322619,40.6883857131,1.27096514207,21
45,G137431,8/31/2015,4306,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,7,72,38,False,984234,174272,Yes,No,No,False,-74.0000576557,40.6450129803,0.999335994279,10
46,G137433,8/31/2015,239,LENOX AVENUE,MANHATTAN,10027,WEST  121 STREET / WEST  122 STREET,,110,10,28,9,False,998833,232892,Yes,No,No,False,-73.9473234322,40.8058985533,1.08954616468,13
